Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,seas_rnd,First.Game,round.name,Finals,status,Home.Venue.Exp,Away.Venue.Exp,Home.Interstate,Away.Interstate,Home.Factor,Away.Factor,Home.ELO_pre,Away.ELO_pre,Home.ELO,Away.ELO,Probability,Prediction
21,1897-06-19,6,St Kilda,3,6,24,Carlton,5,5,35,Junction Oval,-11,1897,Regular,6,1897.6,FALSE,NA,NA,NA,3,1,FALSE,FALSE,1,0,1486.7542538055384,1486.3077939735526,1482.9201411522774,1490.1419066268136,0.5697047033077342,8
22,1897-06-19,6,Melbourne,5,3,33,Collingwood,3,8,26,M.C.G.,7,1897,Regular,6,1897.6,FALSE,NA,NA,NA,4,1,FALSE,FALSE,1,0,1513.3775100381126,1508.2043907963086,1515.8577199677716,1505.7241808666497,0.6314695498277832,14
23,1897-06-19,6,Sydney,2,4,16,Essendon,1,13,19,Lake Oval,-3,1897,Regular,6,1897.6,FALSE,NA,NA,NA,5,1,TRUE,FALSE,1,0,1501.8551731585867,1508.9707241633826,1498.3214665820387,1512.5044307399305,0.5250678419833354,3
24,1897-06-19,6,Geelong,3,13,31,Fitzroy,2,3,15,Corio Oval,16,1897,Regular,6,1897.6,FALSE,NA,NA,NA,4,1,FALSE,FALSE,1,0,1498.1769923436739,1496.3531617208446,1500.870462748778,1493.6596913157405,0.5997815148433664,11
25,1897-06-22,7,Carlton,5,5,35,Collingwood,6,5,41,Princes Park,-6,1897,Regular,7,1897.7,FALSE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1490.1419066268136,1505.7241808666497,1487.7929122332303,1508.073175260233,0.3490333422857967,-15
26,1897-06-22,7,Essendon,8,15,63,Melbourne,3,9,27,East Melbourne,36,1897,Regular,7,1897.7,FALSE,NA,NA,NA,3,1,FALSE,FALSE,1,0,1512.5044307399305,1515.8577199677716,1515.6532642871798,1512.7088864205223,0.5321198295320375,4
27,1897-06-22,7,Fitzroy,5,13,43,Sydney,5,13,43,Brunswick St,0,1897,Regular,7,1897.7,FALSE,NA,NA,NA,4,1,FALSE,TRUE,1,0,1493.6596913157405,1498.3214665820387,1493.4159367781745,1498.5652211196048,0.5362190991925729,4
28,1897-06-22,7,St Kilda,4,7,31,Geelong,16,18,114,Junction Oval,-83,1897,Regular,7,1897.7,FALSE,NA,NA,NA,4,1,FALSE,FALSE,1,0,1482.9201411522774,1500.870462748778,1480.1973075479239,1503.5932963531316,0.4045815162486583,-9
29,1897-06-26,8,St Kilda,4,5,29,Collingwood,7,11,53,Junction Oval,-24,1897,Regular,8,1897.8,FALSE,NA,NA,NA,5,1,FALSE,FALSE,1,0,1480.1973075479239,1508.073175260233,1478.0088314481907,1510.2616513599662,0.3251821842099915,-18
30,1897-06-26,8,Essendon,5,2,32,Geelong,8,9,57,East Melbourne,-25,1897,Regular,8,1897.8,FALSE,NA,NA,NA,4,1,FALSE,FALSE,1,0,1515.6532642871798,1503.5932963531316,1510.9896347763524,1508.256925863959,0.6929612943279768,21
